Name,PoseNum,ZDock Score,ZRank Score,Cluster,ClusterCenter,ClusterSize,Density,E_vdw1,E_elec1,E_vdw2,E_elec2,E_sol,E_RDock,clash
Pose1973,1973,16.720,108.806,93,0,6,6.000,-1.52318978,-4.26371275,-146.389007,5.2574561,20.4,25.13171049,0
Pose1669,1669,16.640,39.252,2001,0,1,2.000,-129.472099,-2.28055345,-130.41443,0.501821683,24.7,25.1516395147,0
Pose1795,1795,17.160,57.183,2,0,61,31.000,-98.2010087,-0.931497427,-110.880558,-1.78915218,26.8,25.189763038,0
Pose1853,1853,18.200,64.895,15,0,23,15.000,62.325794,3.94163797,-119.369211,-5.78128873,30.4,25.196840143,0
Pose656,656,17.520,-21.389,53,0,11,11.000,-116.863047,-5.14876571,-116.790364,0.454832305,24.8,25.2093490745,0
Pose1832,1832,16.760,61.770,17,0,21,17.000,-95.2095094,5.01228942,-115.663707,14.5700111,12.1,25.21300999,0
Pose1545,1545,21.240,28.540,2001,0,1,1.000,-172.558518,3.58721469,-176.592435,6.89720812,19.2,25.407487308,0
Pose1268,1268,17.080,8.788,11,0,24,12.000,-87.2853882,1.13985235,-101.664894,-4.0536443,29.1,25.45172013,0
Pose1508,1508,16.980,25.540,2001,0,1,4.000,-123.755527,-3.05020322,-117.452953,-0.573057201,26.0,25.4842485191,0
Pose1394,1394,16.880,17.178,15,0,23,11.000,-49.5115016,1.68482223,-116.127991,-1.89883866,27.2,25.491045206,0
Pose1739,1739,17.320,47.161,9,0,24,24.000,-140.709448,-0.598806842,-140.936746,8.23381063,18.1,25.510429567,0
Pose1762,1762,16.660,52.884,87,0,7,7.000,-95.3481108,-0.51477627,-104.972695,8.57786401,17.8,25.520077609,0
Pose1958,1958,16.820,99.996,2001,0,1,7.000,-65.7459597,-2.35911161,-115.619085,-9.45539773,34.1,25.590142043,0
Pose998,998,16.880,-4.787,47,0,12,26.000,-119.023571,0.999457893,-121.773118,0.400219273,25.3,25.6601973457,0
Pose1712,1712,18.060,43.508,9,0,24,23.000,-148.559271,-0.723152352,-140.062259,2.20912997,23.7,25.688216973,0
Pose742,742,18.820,-17.514,17,0,21,18.000,-108.970244,5.81427345,-122.870497,13.5684608,13.5,25.71161472,0
